Entity,Code,Year,Regional female to male years schooling (Lee-Lee (2016))
Eastern Europe,,1975,88.23953
Eastern Europe,,1980,91.0499
Eastern Europe,,1985,92.59751
Eastern Europe,,1990,95.19833
Eastern Europe,,1995,99.5089
Eastern Europe,,2000,100.0765
Eastern Europe,,2005,100.8708
Eastern Europe,,2010,101.281
Latin America and the Caribbean,,1870,27.27766
Latin America and the Caribbean,,1875,28.63011
Latin America and the Caribbean,,1880,30.24433
Latin America and the Caribbean,,1885,33.03899
Latin America and the Caribbean,,1890,36.90656
Latin America and the Caribbean,,1895,40.99727
Latin America and the Caribbean,,1900,53.16052
Latin America and the Caribbean,,1905,62.69036
Latin America and the Caribbean,,1910,78.58886
Latin America and the Caribbean,,1915,76.83069
Latin America and the Caribbean,,1920,81.36664
Latin America and the Caribbean,,1925,82.57318
Latin America and the Caribbean,,1930,83.15327
Latin America and the Caribbean,,1935,82.30816
Latin America and the Caribbean,,1940,82.0479
Latin America and the Caribbean,,1945,83.45732
Latin America and the Caribbean,,1950,85.35374
Latin America and the Caribbean,,1955,86.44909
Latin America and the Caribbean,,1960,87.43106
Latin America and the Caribbean,,1965,88.16351
Latin America and the Caribbean,,1970,89.91409
Latin America and the Caribbean,,1975,90.13137
Latin America and the Caribbean,,1980,91.87546
Latin America and the Caribbean,,1985,95.5341
Latin America and the Caribbean,,1990,98.41012
Latin America and the Caribbean,,1995,98.65272
Latin America and the Caribbean,,2000,99.1202
Latin America and the Caribbean,,2005,99.37784
Latin America and the Caribbean,,2010,101.2789
Middle East and North Africa,,1870,24.39404
Middle East and North Africa,,1875,25.32704
Middle East and North Africa,,1880,22.24614
Middle East and North Africa,,1885,19.72015
Middle East and North Africa,,1890,18.94147
Middle East and North Africa,,1895,18.33005
Middle East and North Africa,,1900,29.65252
Middle East and North Africa,,1905,35.66284
Middle East and North Africa,,1910,37.67577
Middle East and North Africa,,1915,35.22796
Middle East and North Africa,,1920,33.30417
Middle East and North Africa,,1925,33.73384
Middle East and North Africa,,1930,36.35699
Middle East and North Africa,,1935,37.29398
Middle East and North Africa,,1940,34.60007
Middle East and North Africa,,1945,33.97751
Middle East and North Africa,,1950,34.28489
Middle East and North Africa,,1955,35.16299
Middle East and North Africa,,1960,36.16919
Middle East and North Africa,,1965,37.62162
Middle East and North Africa,,1970,40.38987
Middle East and North Africa,,1975,47.03163
Middle East and North Africa,,1980,51.59725
Middle East and North Africa,,1985,57.1493
Middle East and North Africa,,1990,63.34433
Middle East and North Africa,,1995,70.20562
Middle East and North Africa,,2000,76.51796
Middle East and North Africa,,2005,80.68445
Middle East and North Africa,,2010,87.49546
Sub-Saharan Africa,,1870,8.11676
Sub-Saharan Africa,,1875,6.64629
Sub-Saharan Africa,,1880,5.64583
Sub-Saharan Africa,,1885,4.9068
Sub-Saharan Africa,,1890,4.65255
Sub-Saharan Africa,,1895,5.10057
Sub-Saharan Africa,,1900,7.46943
Sub-Saharan Africa,,1905,16.51518
Sub-Saharan Africa,,1910,24.14239
Sub-Saharan Africa,,1915,33.15442
Sub-Saharan Africa,,1920,40.43565
Sub-Saharan Africa,,1925,45.66019
Sub-Saharan Africa,,1930,50.88
Sub-Saharan Africa,,1935,55.99089
Sub-Saharan Africa,,1940,58.41426
Sub-Saharan Africa,,1945,61.28516
Sub-Saharan Africa,,1950,60.46001
Sub-Saharan Africa,,1955,59.1262
Sub-Saharan Africa,,1960,58.04284
Sub-Saharan Africa,,1965,56.82315
Sub-Saharan Africa,,1970,58.32391
Sub-Saharan Africa,,1975,58.63516
Sub-Saharan Africa,,1980,59.21986
Sub-Saharan Africa,,1985,61.77805
Sub-Saharan Africa,,1990,67.36083
Sub-Saharan Africa,,1995,72.22995
Sub-Saharan Africa,,2000,74.32109
Sub-Saharan Africa,,2005,77.87061
Sub-Saharan Africa,,2010,81.99623
